mark,model,vollume,power
BMW,F 650,650.5,46.5
BMW,F 650 CS,651.3333333333334,17.333333333333332
BMW,F 650 GS,745.4909090909091,61.78181818181818
BMW,F 650 ST,650.0,1.0
BMW,F 700 GS,792.9777777777778,63.51111111111111
BMW,F 750 GS,844.2,72.46666666666667
BMW,F 800 GS,799.8076923076923,57.51923076923077
BMW,F 800 GT,799.75,72.91666666666667
BMW,F 800 R,799.6307692307693,79.56923076923077
BMW,F 800 S,799.8181818181819,66.13636363636364
BMW,F 800 ST,799.375,69.4375
BMW,F 850 GS,850.8285714285714,81.65714285714286
BMW,F 850 GS Adventure,851.3333333333334,95.0
BMW,F 900 R,874.2368421052631,99.07894736842105
BMW,F 900 XR,898.2142857142857,90.14285714285714
BMW,G 310 GS,311.03846153846155,28.076923076923077
BMW,G 310 R,311.6231884057971,31.130434782608695
BMW,G 450 X,450.0,1.0
BMW,G 650 GS,650.4444444444445,27.22222222222222
BMW,G 650 X,652.0,53.0
BMW,HP2,1170.0,133.0
BMW,HP4,1000.0,224.0
BMW,K 1,987.0,100.0
BMW,K 100,991.3333333333334,61.0
BMW,K 100 LT,998.0,93.33333333333333
BMW,K 100 RS,995.0,96.375
BMW,K 100 RT,1000.0,90.0
BMW,K 1100 LT,1096.0,91.66666666666667
BMW,K 1100 RS,1049.75,75.25
BMW,K 1200 GT,1196.5714285714287,120.33333333333333
BMW,K 1200 LT,1200.0,102.66666666666667
BMW,K 1200 R,1196.0,133.4090909090909
BMW,K 1200 RS,1185.5,130.0
BMW,K 1200 S,1200.5357142857142,140.67857142857142
BMW,K 1300 GT,1298.5,137.75
BMW,K 1300 R,1634.6153846153845,160.1153846153846
BMW,K 1300 S,1297.735294117647,159.97058823529412
BMW,K 1600 B,1620.235294117647,117.0
BMW,K 1600 GA,1600.0,162.33333333333334
BMW,K 1600 GT,1610.7826086956522,126.84782608695652
BMW,K 1600 GTL,1618.0487804878048,131.02439024390245
BMW,K 75 S,750.0,75.0
BMW,M 1000 R,999.0,167.2
BMW,M 1000 RR,998.6923076923077,211.84615384615384
BMW,R 100,999.3333333333334,65.66666666666667
BMW,R 100 RT,1000.0,1.0
BMW,R 1100 GS,1090.8,80.6
BMW,R 1100 R,1096.7777777777778,48.44444444444444
BMW,R 1100 RS,1091.6666666666667,90.88888888888889
BMW,R 1100 RT,1102.3333333333333,81.73333333333333
BMW,R 1100 S,1097.0,77.4
BMW,R 1150 GS,1145.0,59.0
BMW,R 1150 R,1165.8823529411766,75.29411764705883
BMW,R 1150 RS,1145.5555555555557,63.77777777777778
BMW,R 1150 RT,1141.0714285714287,88.32142857142857
BMW,R 12,350.0,28.0
BMW,R 1200 C,1192.1666666666667,56.75
BMW,R 1200 CL,1196.25,53.625
BMW,R 1200 GS,1195.0076335877864,100.47328244274809
BMW,R 1200 GS Adventure,1198.1176470588234,84.31372549019608
BMW,R 1200 R,1194.7368421052631,94.66666666666667
BMW,R 1200 RS,1199.6875,113.21875
BMW,R 1200 RT,1197.463768115942,102.6376811594203
BMW,R 1200 S,1194.0,98.4
BMW,R 1200 ST,1198.125,103.1875
BMW,R 1250 GS,1250.0350877192982,125.50877192982456
BMW,R 1250 GS Adventure,1252.0555555555557,122.9074074074074
